model,lambda,step,l2
2,0.3,3400,27.124305
2,0.3,3500,22.598415
2,0.3,3600,18.820426
2,0.3,3700,15.669815
2,0.3,3800,13.044238
2,0.3,3900,10.857284
2,0.3,4000,9.036299
2,0.3,4100,7.52039
2,0.3,4200,6.258635
2,0.3,4300,5.208522
2,0.3,4400,4.334599
2,0.3,4500,3.607329
2,0.3,4600,3.002111
2,0.3,4700,2.498467
2,0.3,4800,2.079349
2,0.3,4900,1.730573
2,0.3,5000,1.440332
2,0.3,5100,1.198802
2,0.3,5200,0.997806
2,0.3,5300,0.83054
2,0.3,5400,0.691342
2,0.3,5500,0.575501
2,0.3,5600,0.479095
2,0.3,5700,0.398862
2,0.3,5800,0.332087
2,0.3,5900,0.27651
2,0.3,6000,0.230251
2,0.3,6100,0.191746
2,0.3,6200,0.159693
2,0.3,6300,0.133011
2,0.3,6400,0.110796
2,0.3,6500,0.092301
2,0.3,6600,0.076901
2,0.3,6700,0.064077
2,0.3,6800,0.053397
2,0.3,6900,0.044502
2,0.3,7000,0.037093
2,0.3,7100,0.030921
2,0.3,7200,0.025779
2,0.3,7300,0.021494
2,0.3,7400,0.017924
2,0.3,7500,0.014949
2,0.3,7600,0.012469
2,0.3,7700,0.010401
2,0.3,7800,0.008678
2,0.3,7900,0.007241
2,0.3,8000,0.006042
2,0.3,8100,0.005043
2,0.3,8200,0.004209
2,0.3,8300,0.003514
2,0.3,8400,0.002934
2,0.3,8500,0.00245
2,0.3,8600,0.002046
2,0.3,8700,0.001708
2,0.3,8800,0.001427
2,0.3,8900,0.001192
2,0.3,8998,0.000999
2,0.4,0,3307.072871
2,0.4,100,2517.800797
2,0.4,200,2063.031066
2,0.4,300,1734.324581
2,0.4,400,1481.511771
2,0.4,500,1286.44247
2,0.4,600,1136.526955
2,0.4,700,1020.75976
2,0.4,800,929.805825
2,0.4,900,856.740046
2,0.4,1000,796.744933
2,0.4,1100,746.011452
2,0.4,1200,700.916859
2,0.4,1300,657.98702
2,0.4,1400,614.411759
2,0.4,1500,568.605149
2,0.4,1600,520.399333
2,0.4,1700,470.764591
2,0.4,1800,421.258652
2,0.4,1900,373.498793
2,0.4,2000,328.78827
2,0.4,2100,287.883997
2,0.4,2200,250.951451
2,0.4,2300,217.760556
2,0.4,2400,187.978161
2,0.4,2500,161.343541
2,0.4,2600,137.683957
2,0.4,2700,116.858975
2,0.4,2800,98.711217
2,0.4,2900,83.047105
2,0.4,3000,69.640748
2,0.4,3100,58.248147
2,0.4,3200,48.622625
2,0.4,3300,40.527189
2,0.4,3400,33.742662
2,0.4,3500,28.072014
2,0.4,3600,23.341829
2,0.4,3700,19.401868
2,0.4,3800,16.123497
2,0.4,3900,13.397548
2,0.4,4000,11.13198
2,0.4,4100,9.249568
2,0.4,4200,7.685744
2,0.4,4300,6.386663
2,0.4,4400,5.307504
2,0.4,4500,4.410996
2,0.4,4600,3.666177
2,0.4,4700,3.047335
2,0.4,4800,2.533122
2,0.4,4900,2.105816
2,0.4,5000,1.750703
2,0.4,5100,1.455567
2,0.4,5200,1.210262
2,0.4,5300,1.006364
2,0.4,5400,0.836873
2,0.4,5500,0.695977
2,0.4,5600,0.578844
2,0.4,5700,0.481462
2,0.4,5800,0.400496
2,0.4,5900,0.333174
2,0.4,6000,0.277193
2,0.4,6100,0.23064
2,0.4,6200,0.191924
2,0.4,6300,0.159723
2,0.4,6400,0.132939
2,0.4,6500,0.110658
2,0.4,6600,0.092121
2,0.4,6700,0.076699
2,0.4,6800,0.063865
2,0.4,6900,0.053185
2,0.4,7000,0.044297
2,0.4,7100,0.036898
2,0.4,7200,0.030739
2,0.4,7300,0.025611
2,0.4,7400,0.021341
2,0.4,7500,0.017786
2,0.4,7600,0.014824
2,0.4,7700,0.012357
2,0.4,7800,0.010302
2,0.4,7900,0.00859
2,0.4,8000,0.007164
2,0.4,8100,0.005975
2,0.4,8200,0.004983
2,0.4,8300,0.004157
2,0.4,8400,0.003469
2,0.4,8500,0.002894
2,0.4,8600,0.002415
2,0.4,8700,0.002016
2,0.4,8800,0.001683
2,0.4,8900,0.001405
2,0.4,9000,0.001173
2,0.4,9089,0.000999
3,0.1,0,3309.049614
3,0.1,100,2594.035357
3,0.1,200,2151.18356
3,0.1,300,1838.078965
3,0.1,400,1605.063433
3,0.1,500,1431.989777
3,0.1,600,1305.710212
3,0.1,700,1215.543559
3,0.1,800,1153.487629
3,0.1,900,1114.321192
3,0.1,1000,1095.169608
3,0.1,1100,1094.69722
3,0.1,1200,1112.051636
3,0.1,1300,1145.728006
3,0.1,1400,1192.625429
3,0.1,1500,1247.628224
3,0.1,1600,1303.927577
3,0.1,1700,1354.00232
3,0.1,1800,1390.874933
3,0.1,1900,1409.172269
3,0.1,2000,1405.71219
3,0.1,2100,1379.613405
3,0.1,2200,1332.068604
3,0.1,2300,1265.916516
3,0.1,2400,1185.104606
3,0.1,2500,1094.116121
3,0.1,2600,997.436593
3,0.1,2700,899.128159
3,0.1,2800,802.553984
3,0.1,2900,710.258644
3,0.1,3000,623.978612
3,0.1,3100,544.739944
3,0.1,3200,472.998804
3,0.1,3300,408.78939
3,0.1,3400,351.856887
3,0.1,3500,301.765028
3,0.1,3600,257.976571
3,0.1,3700,219.909868
3,0.1,3800,186.976595
3,0.1,3900,158.605753
3,0.1,4000,134.25816
3,0.1,4100,113.434572
3,0.1,4200,95.679575
3,0.1,4300,80.5827
3,0.1,4400,67.777681
3,0.1,4500,56.94051
3,0.1,4600,47.786715
3,0.1,4700,40.068193
3,0.1,4800,33.569826
3,0.1,4900,28.106052
3,0.1,5000,23.517537
3,0.1,5100,19.668005
3,0.1,5200,16.441314
3,0.1,5300,13.738774
3,0.1,5400,11.47675
3,0.1,5500,9.584529
3,0.1,5600,8.002437
3,0.1,5700,6.680209
3,0.1,5800,5.575561
3,0.1,5900,4.652975
3,0.1,6000,3.882646
3,0.1,6100,3.239588
3,0.1,6200,2.702873
3,0.1,6300,2.254982
3,0.1,6400,1.88126
3,0.1,6500,1.569457
3,0.1,6600,1.309332
3,0.1,6700,1.092333
3,0.1,6800,0.911317
3,0.1,6900,0.76032
3,0.1,7000,0.634366
3,0.1,7100,0.5293
3,0.1,7200,0.441657
3,0.1,7300,0.368547
3,0.1,7400,0.307557
3,0.1,7500,0.256677
3,0.1,7600,0.214227
3,0.1,7700,0.178811
3,0.1,7800,0.14926
3,0.1,7900,0.124601
3,0.1,8000,0.104024
3,0.1,8100,0.086852
3,0.1,8200,0.072519
3,0.1,8300,0.060557
3,0.1,8400,0.050571
3,0.1,8500,0.042235
3,0.1,8600,0.035276
3,0.1,8700,0.029465
3,0.1,8800,0.024613
3,0.1,8900,0.020562
3,0.1,9000,0.017179
3,0.1,9100,0.014353
3,0.1,9200,0.011993
3,0.1,9300,0.010021
3,0.1,9400,0.008374
3,0.1,9500,0.006998
3,0.1,9600,0.005849
3,0.1,9700,0.004888
3,0.1,9800,0.004086
3,0.1,9900,0.003415
3,0.1,10000,0.002855
3,0.1,10100,0.002386
3,0.1,10200,0.001995
3,0.1,10300,0.001668
3,0.1,10400,0.001394
3,0.1,10500,0.001166
3,0.1,10586,0.000999
3,0.2,0,3309.047816
3,0.2,100,2593.977426
3,0.2,200,2151.258758
3,0.2,300,1838.464512
3,0.2,400,1605.971612
3,0.2,500,1433.696677
3,0.2,600,1308.576036
3,0.2,700,1220.036724
3,0.2,800,1160.223234
3,0.2,900,1124.125443
3,0.2,1000,1109.18384
3,0.2,1100,1114.5324
3,0.2,1200,1139.991117
3,0.2,1300,1184.94849
3,0.2,1400,1247.371837
3,0.2,1500,1323.256416
3,0.2,1600,1406.733287
3,0.2,1700,1490.787712
3,0.2,1800,1568.25948
3,0.2,1900,1632.717595
3,0.2,2000,1678.986013
3,0.2,2100,1703.357963
3,0.2,2200,1703.654688
3,0.2,2300,1679.23845
3,0.2,2400,1630.991729
3,0.2,2500,1561.215189
3,0.2,2600,1473.397822
3,0.2,2700,1371.854056
3,0.2,2800,1261.27334
3,0.2,2900,1146.260854
3,0.2,3000,1030.950202
3,0.2,3100,918.743451
3,0.2,3200,812.195519
3,0.2,3300,713.025177
3,0.2,3400,622.214427
