model,gamma,step,l2
3,0.1,2900,1314.365981
3,0.1,3000,1193.305122
3,0.1,3100,1072.406111
3,0.1,3200,955.088045
3,0.1,3300,843.910409
3,0.1,3400,740.584279
3,0.1,3500,646.072992
3,0.1,3600,560.739304
3,0.1,3700,484.5025
3,0.1,3800,416.980952
3,0.1,3900,357.607959
3,0.1,4000,305.718195
3,0.1,4100,260.607914
3,0.1,4200,221.574459
3,0.1,4300,187.940855
3,0.1,4400,159.070294
3,0.1,4500,134.374022
3,0.1,4600,113.314971
3,0.1,4700,95.408635
3,0.1,4800,80.222091
3,0.1,4900,67.371784
3,0.1,5000,56.520482
3,0.1,5100,47.373697
3,0.1,5200,39.675846
3,0.1,5300,33.206318
3,0.1,5400,27.775601
3,0.1,5500,23.221594
3,0.1,5600,19.40615
3,0.1,5700,16.211915
3,0.1,5800,13.539481
3,0.1,5900,11.304837
3,0.1,6000,9.437136
3,0.1,6100,7.876734
3,0.1,6200,6.573498
3,0.1,6300,5.485342
3,0.1,6400,4.576974
3,0.1,6500,3.818828
3,0.1,6600,3.186154
3,0.1,6700,2.658248
3,0.1,6800,2.217799
3,0.1,6900,1.850344
3,0.1,7000,1.543799
3,0.1,7100,1.288074
3,0.1,7200,1.074747
3,0.1,7300,0.896789
3,0.1,7400,0.748332
3,0.1,7500,0.624485
3,0.1,7600,0.521163
3,0.1,7700,0.434962
3,0.1,7800,0.363041
3,0.1,7900,0.303032
3,0.1,8000,0.252959
3,0.1,8100,0.211174
3,0.1,8200,0.176304
3,0.1,8300,0.147201
3,0.1,8400,0.122911
3,0.1,8500,0.102636
3,0.1,8600,0.085711
3,0.1,8700,0.071582
3,0.1,8800,0.059785
3,0.1,8900,0.049936
3,0.1,9000,0.041712
3,0.1,9100,0.034845
3,0.1,9200,0.029109
3,0.1,9300,0.02432
3,0.1,9400,0.020319
3,0.1,9500,0.016977
3,0.1,9600,0.014186
3,0.1,9700,0.011854
3,0.1,9800,0.009906
3,0.1,9900,0.008278
3,0.1,10000,0.006919
3,0.1,10100,0.005782
3,0.1,10200,0.004833
3,0.1,10300,0.004039
3,0.1,10400,0.003376
3,0.1,10500,0.002822
3,0.1,10600,0.002359
3,0.1,10700,0.001972
3,0.1,10800,0.001648
3,0.1,10900,0.001378
3,0.1,11000,0.001152
3,0.1,11080,0.000998
3,0.2,0,3299.497513
3,0.2,100,2146.639872
3,0.2,200,1603.199315
3,0.2,300,1307.332119
3,0.2,400,1160.63117
3,0.2,500,1111.832004
3,0.2,600,1146.371298
3,0.2,700,1260.390669
3,0.2,800,1431.250623
3,0.2,900,1611.265577
3,0.2,1000,1748.507921
3,0.2,1100,1805.676365
3,0.2,1200,1765.260444
3,0.2,1300,1631.011599
3,0.2,1400,1426.842426
3,0.2,1500,1188.492846
3,0.2,1600,950.492203
3,0.2,1700,736.493702
3,0.2,1800,557.277956
3,0.2,1900,414.154145
3,0.2,2000,303.467804
3,0.2,2100,219.817979
3,0.2,2200,157.721666
3,0.2,2300,112.294033
3,0.2,2400,79.458537
3,0.2,2500,55.955214
3,0.2,2600,39.260858
3,0.2,2700,27.472988
3,0.2,2800,19.186661
3,0.2,2900,13.380958
3,0.2,3000,9.323027
3,0.2,3100,6.491576
3,0.2,3200,4.518283
3,0.2,3300,3.144176
3,0.2,3400,2.187816
3,0.2,3500,1.522405
3,0.2,3600,1.059496
3,0.2,3700,0.737468
3,0.2,3800,0.513427
3,0.2,3900,0.357536
3,0.2,4000,0.249043
3,0.2,4100,0.173519
3,0.2,4200,0.120931
3,0.2,4300,0.084303
3,0.2,4400,0.058785
3,0.2,4500,0.041001
3,0.2,4600,0.028605
3,0.2,4700,0.01996
3,0.2,4800,0.013931
3,0.2,4900,0.009725
3,0.2,5000,0.00679
3,0.2,5100,0.004742
3,0.2,5200,0.003311
3,0.2,5300,0.002313
3,0.2,5400,0.001616
3,0.2,5500,0.001129
3,0.2,5534,0.000999
3,0.3,0,3289.966327
3,0.3,100,1831.238356
3,0.3,200,1305.511344
3,0.3,300,1124.933022
3,0.3,400,1146.892603
3,0.3,500,1342.772272
3,0.3,600,1612.434405
3,0.3,700,1788.115832
3,0.3,800,1762.569803
3,0.3,900,1531.271661
3,0.3,1000,1183.67678
3,0.3,1100,835.178251
3,0.3,1200,553.824995
3,0.3,1300,352.558543
3,0.3,1400,218.069304
3,0.3,1500,132.029673
3,0.3,1600,78.699764
3,0.3,1700,46.407567
3,0.3,1800,27.172764
3,0.3,1900,15.840286
3,0.3,2000,9.209977
3,0.3,2100,5.347316
3,0.3,2200,3.102639
3,0.3,2300,1.799964
3,0.3,2400,1.044421
3,0.3,2500,0.606259
3,0.3,2600,0.352101
3,0.3,2700,0.204613
3,0.3,2800,0.118978
3,0.3,2900,0.069225
3,0.3,3000,0.040301
3,0.3,3100,0.023475
3,0.3,3200,0.01368
3,0.3,3300,0.007976
3,0.3,3400,0.004652
3,0.3,3500,0.002714
3,0.3,3600,0.001584
3,0.3,3686,0.000997
3,0.4,0,3280.45406
3,0.4,100,1597.301193
3,0.4,200,1158.706756
3,0.4,300,1147.423683
3,0.4,400,1434.402225
3,0.4,500,1748.719878
3,0.4,600,1759.859114
3,0.4,700,1417.644012
3,0.4,800,941.307119
3,0.4,900,550.380458
3,0.4,1000,298.992832
3,0.4,1100,155.04486
3,0.4,1200,77.94576
3,0.4,1300,38.440062
3,0.4,1400,18.753198
3,0.4,1500,9.09798
3,0.4,1600,4.402675
3,0.4,1700,2.128823
3,0.4,1800,1.029522
3,0.4,1900,0.49824
3,0.4,2000,0.241363
3,0.4,2100,0.117051
3,0.4,2200,0.056827
3,0.4,2300,0.027617
3,0.4,2400,0.013433
3,0.4,2500,0.006539
3,0.4,2600,0.003185
3,0.4,2700,0.001552
3,0.4,2762,0.000994
4,0.1,0,3310.041052
4,0.1,100,2660.648877
4,0.1,200,2225.297711
4,0.1,300,1882.661274
4,0.1,400,1603.952792
4,0.1,500,1380.280271
4,0.1,600,1202.364181
4,0.1,700,1059.909182
4,0.1,800,943.864433
4,0.1,900,847.251911
4,0.1,1000,764.937877
4,0.1,1100,693.116672
4,0.1,1200,628.90743
4,0.1,1300,570.18732
4,0.1,1400,515.559583
4,0.1,1500,464.260694
4,0.1,1600,415.943569
4,0.1,1700,370.461806
4,0.1,1800,327.776133
