model,graph,factor,time1,time2,total_time,final_step,final_l2,gamma,lambda,budget,max_step,tolerance,thread_count,num_nodes,num_edges
3, adjacency_list, global_spillover, 0.585858, 1.013728, 1.599586, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 8, 4416, 13760
4, compressed_sparse_row, uniform, nan, 0.797670, 0.797670, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 8, 4416, 13760
5, compressed_sparse_row, local_spillover, 0.000060, 0.799654, 0.799714, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 8, 4416, 13760
6, compressed_sparse_row, global_spillover, 0.558711, 0.987251, 1.545962, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 8, 4416, 13760
1, adjacency_list, uniform, nan, 0.774472, 0.774472, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 10, 4416, 13760
2, adjacency_list, local_spillover, 0.000058, 0.774912, 0.774970, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 10, 4416, 13760
3, adjacency_list, global_spillover, 0.467668, 0.957291, 1.424959, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 10, 4416, 13760
4, compressed_sparse_row, uniform, nan, 0.764994, 0.764994, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 10, 4416, 13760
5, compressed_sparse_row, local_spillover, 0.000058, 0.768897, 0.768955, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 10, 4416, 13760
6, compressed_sparse_row, global_spillover, 0.444191, 0.947061, 1.391252, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 10, 4416, 13760
1, adjacency_list, uniform, nan, 0.774427, 0.774427, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 10, 4416, 13760
2, adjacency_list, local_spillover, 0.000057, 0.771534, 0.771590, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 10, 4416, 13760
3, adjacency_list, global_spillover, 0.468739, 0.952780, 1.421519, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 10, 4416, 13760
4, compressed_sparse_row, uniform, nan, 0.762225, 0.762225, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 10, 4416, 13760
5, compressed_sparse_row, local_spillover, 0.000058, 0.763580, 0.763638, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 10, 4416, 13760
6, compressed_sparse_row, global_spillover, 0.446643, 0.943591, 1.390235, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 10, 4416, 13760
1, adjacency_list, uniform, nan, 0.765146, 0.765146, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 10, 4416, 13760
2, adjacency_list, local_spillover, 0.000056, 0.764306, 0.764362, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 10, 4416, 13760
3, adjacency_list, global_spillover, 0.468473, 0.944029, 1.412502, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 10, 4416, 13760
4, compressed_sparse_row, uniform, nan, 0.754521, 0.754521, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 10, 4416, 13760
5, compressed_sparse_row, local_spillover, 0.000057, 0.755920, 0.755977, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 10, 4416, 13760
6, compressed_sparse_row, global_spillover, 0.447056, 0.933662, 1.380718, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 10, 4416, 13760
1, adjacency_list, uniform, nan, 0.755080, 0.755080, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 12, 4416, 13760
2, adjacency_list, local_spillover, 0.000057, 0.731660, 0.731716, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 12, 4416, 13760
3, adjacency_list, global_spillover, 0.415514, 0.904292, 1.319806, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 12, 4416, 13760
4, compressed_sparse_row, uniform, nan, 0.724830, 0.724830, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 12, 4416, 13760
5, compressed_sparse_row, local_spillover, 0.000058, 0.726824, 0.726882, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 12, 4416, 13760
6, compressed_sparse_row, global_spillover, 0.393134, 0.899482, 1.292616, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 12, 4416, 13760
1, adjacency_list, uniform, nan, 0.752059, 0.752059, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 12, 4416, 13760
2, adjacency_list, local_spillover, 0.000060, 0.729386, 0.729447, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 12, 4416, 13760
3, adjacency_list, global_spillover, 0.415988, 0.900506, 1.316495, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 12, 4416, 13760
4, compressed_sparse_row, uniform, nan, 0.724579, 0.724579, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 12, 4416, 13760
5, compressed_sparse_row, local_spillover, 0.000058, 0.723155, 0.723213, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 12, 4416, 13760
6, compressed_sparse_row, global_spillover, 0.392792, 0.892875, 1.285667, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 12, 4416, 13760
1, adjacency_list, uniform, nan, 0.759849, 0.759849, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 12, 4416, 13760
2, adjacency_list, local_spillover, 0.000063, 0.736661, 0.736724, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 12, 4416, 13760
